Nazwisko aktualne,Liczba
WALCZYK,3456
FIGIEL,3451
MACH,3451
SZADKOWSKA,3449
ZARĘBSKA,3449
WÓJCIAK,3446
PISKORZ,3445
LACHOWICZ,3441
OSUCH,3438
KOPROWSKA,3436
ZIMNA,3436
ORZEŁ,3432
SZPAK,3430
GARBACZ,3429
TRACZYK,3423
ĆWIKLIŃSKA,3421
SUDOŁ,3420
PASZEK,3418
BROŻEK,3416
LOREK,3413
CIOŁEK,3412
GOŁĄBEK,3403
ŁOŚ,3401
WDOWIAK,3399
GRUCA,3395
KOŁODZIEJCZAK,3395
SUROWIEC,3394
KOZERA,3393
GRABSKA,3391
GRELA,3387
BARON,3384
BATOR,3384
BERNAT,3384
ANTONIAK,3382
MROWIEC,3379
STACHOWSKA,3379
ZAPAŁA,3379
MYŚLIWIEC,3378
MULARCZYK,3376
PIĘTA,3375
JAMRÓZ,3372
BŁAŻEJEWSKA,3369
WĄSOWSKA,3369
OŻÓG,3368
SALA,3367
GLIŃSKA,3365
PÓŁTORAK,3364
BURDA,3355
DOBRZAŃSKA,3355
GALIŃSKA,3353
FILIPCZAK,3352
ŚWITAŁA,3352
WACHOWIAK,3351
BUREK,3349
CZAPLIŃSKA,3345
MODRZEJEWSKA,3345
KOCHANOWSKA,3343
NADOLSKA,3342
OLEŚ,3340
ZAWISZA,3339
WINNICKA,3335
MATUSIK,3334
JEDYNAK,3331
NIEZGODA,3329
KULIKOWSKA,3328
BARTOSIEWICZ,3327
GAŁECKA,3326
ZASADA,3325
GAJ,3320
FRANCZAK,3319
BŁOŃSKA,3317
KOZYRA,3312
GRYGIEL,3310
OKOŃ,3309
PLEWA,3306
GAZDA,3299
MUSIOŁ,3299
CZUBA,3298
KAZIMIERCZAK,3293
ZAWISTOWSKA,3290
TYMIŃSKA,3285
ŁACH,3283
BARTNICKA,3274
NALEPA,3264
SZUBERT,3258
WALIGÓRA,3256
KRASKA,3255
KAPICA,3248
BERNACKA,3247
JASKÓLSKA,3247
SOBOCIŃSKA,3246
IWANOWSKA,3241
WŁOCH,3241
SZWEDA,3235
PIETRZYKOWSKA,3232
KOSTRZEWSKA,3230
BIEL,3226
KOZICKA,3224
MAJDA,3224
MIECZKOWSKA,3223
TUSZYŃSKA,3223
KOŚCIELNIAK,3220
MATCZAK,3220
FRANKIEWICZ,3216
KLIMAS,3215
SZCZEPANEK,3215
SARNOWSKA,3211
STENCEL,3211
MARCZEWSKA,3209
SKWAREK,3208
GAJEK,3207
KRÓLIK,3205
WIELGOSZ,3204
BIEŃ,3200
ĆWIK,3199
DOMAGALSKA,3196
KLIMASZEWSKA,3196
GOŁASZEWSKA,3195
PASTUSZKA,3194
DUSZA,3193
SITKO,3188
SKORUPSKA,3184
BOROŃ,3181
RÓG,3179
PRZYBYSZEWSKA,3178
MŁYNARSKA,3177
JANECZEK,3173
MIŚ,3172
DRĄG,3161
JACKIEWICZ,3157
DANIEL,3155
OGÓREK,3154
NADOLNA,3153
WISZNIEWSKA,3153
PODSIADŁO,3152
OZGA,3151
GALAS,3149
SOBCZYŃSKA,3148
IWANICKA,3147
LEMAŃSKA,3145
SŁOMIŃSKA,3145
WCISŁO,3142
BŁASZKIEWICZ,3140
WILCZEWSKA,3138
RYBIŃSKA,3133
SPYCHAŁA,3131
STRZAŁKOWSKA,3126
SEWERYN,3125
BOGDAN,3123
NYCZ,3123
ANTKOWIAK,3121
KRAUSE,3117
GAŁUSZKA,3115
RYCHLIK,3105
TURSKA,3101
ZAWIŚLAK,3101
NOSAL,3098
PANASIUK,3098
PIEŃKOWSKA,3098
RADWAŃSKA,3095
RADZIKOWSKA,3095
GÓRALSKA,3094
MAKAREWICZ,3092
NEUMANN,3089
KŁOSIŃSKA,3088
MIKUŁA,3087
WYDRA,3084
KORNACKA,3081
MACHNIK,3079
RYBA,3079
SŁOMKA,3077
BARTKOWSKA,3076
KLUSKA,3074
LUDWICZAK,3074
KASPERSKA,3070
TABOR,3065
WALAS,3064
RUMIŃSKA,3063
SZAFRAN,3063
BOJANOWSKA,3059
KOŁACZ,3058
ZALESKA,3058
DUDKIEWICZ,3054
ŁUGOWSKA,3053
ZIOMEK,3049
LEWCZUK,3041
PILARCZYK,3041
RYBACKA,3041
ROKITA,3040
CZUBAK,3036
BRYŁA,3035
FURTAK,3035
MISZCZAK,3034
BUDA,3031
MARCINKIEWICZ,3031
MIREK,3025
BACZYŃSKA,3024
ŚLIWKA,3022
DĘBICKA,3018
GROBELNA,3018
GIZA,3014
GUZ,3014
SOBOŃ,3014
CIEŚLIŃSKA,3009
CZERWONKA,3009
JOŃCZYK,3008
DREWNIAK,3001
CHOJECKA,3000
NAPIÓRKOWSKA,2999
ŚWIERCZ,2998
STOPA,2997
KALITA,2996
SZOSTEK,2981
WACHOWSKA,2971
DWORAK,2967
WNĘK,2965
KOBYLIŃSKA,2964
MIZERA,2963
KALBARCZYK,2959
WILIŃSKA,2958
ZATORSKA,2956
BOROWIAK,2950
KĄKOL,2950
KREFT,2950
CYRAN,2949
MACHOWSKA,2949
WĘGLARZ,2942
IWANIUK,2941
RĄCZKA,2940
OSIECKA,2936
CHYLIŃSKA,2932
PATER,2932
CZAPSKA,2924
KOZIŃSKA,2923
KARASIŃSKA,2922
PIWOWAR,2919
MASTALERZ,2916
TOPOLSKA,2916
CZAPIEWSKA,2915
MARKOWICZ,2911
KLONOWSKA,2909
OSTASZEWSKA,2908
PLUCIŃSKA,2908
KULAS,2902
GĄSKA,2901
GREGORCZYK,2901
ŁUCZYŃSKA,2901
PISARSKA,2901
SMYK,2899
SZMIDT,2899
KOMAR,2896
WASZAK,2892
ZIEMBA,2892
TARKA,2889
FRYDRYCH,2888
KRASUSKA,2888
DAWID,2886
MILER,2886
TRZASKA,2884
MIKOŁAJEWSKA,2881
GWIAZDA,2880
DYLEWSKA,2879
BADURA,2875
CABAN,2875
JAKUBCZAK,2872
KONDRACKA,2871
MOSKWA,2871
MALCZEWSKA,2868
MOTYL,2868
DUL,2867
MATUSZCZAK,2867
SITARZ,2867
PYKA,2866
SAKOWSKA,2866
RYDZEWSKA,2865
WIDERA,2865
WIERZCHOWSKA,2862
OLENDER,2861
TRUSZKOWSKA,2861
KUNICKA,2858
KONIECZNY,2857
KLEIN,2853
BOGACKA,2852
SZEWCZUK,2851
IWAN,2850
POPIOŁEK,2848
PIEKARZ,2846
SUCHOCKA,2844
ZAŁĘSKA,2839
KIELAR,2838
CZAPLICKA,2835
FABISIAK,2834
SIUDA,2827
SZAFRANIEC,2822
